DCA License Number,Business Name,Business Name 2,Industry,Event Type,Event Date,Status
0884320-DCA,"MEASURE-UP CONTRACTING CO., INC.",,Home Improvement Contractor,Suspended,7/13/1994,Inactive
0887399-DCA,"AMIN, CHOUDRY & ANAYAT, CHOUDHARY",YAHOO CONSTRUCTION CO,Home Improvement Contractor,Surrendered,7/10/1995,Inactive
0899495-DCA,"JEZEWSKI, ROBERT",ROBERT CONSTRUCTION,Home Improvement Contractor,Suspended,7/25/1995,Inactive
0924102-DCA,RAPID EAST 38TH STREET CORP.,,Parking Lot,Surrendered,8/29/1995,Inactive
0909049-DCA,,,Tow Truck Driver,Revoked,10/16/1995,Inactive
0800012-DCA,"CALZOLAIO, GIANCARLO& CANIGLIA, ROBERTO",JOHN'S & BOB'S,Stoop Line Stand,Surrendered,10/24/1995,Inactive
0367207-DCA,"SFERRINO, JOSEPH",,Garage,Surrendered,12/22/1995,Inactive
0905910-DCA,"CHOW, JEANETTE",FIRST CHOICE DRY CLEANERS,Laundry Jobber,Surrendered,1/10/1996,Inactive
0896406-DCA,"ALI, NASIR",STAR WATERPROFFING  & HOME IMPROVEMENT,Home Improvement Contractor,Suspended,4/29/1996,Inactive
0808098-DCA,"CAROLLO, PHILIP",CAROLLO CONSTR MAINT&REMDL,Home Improvement Contractor,Revoked,5/31/1996,Inactive
0924849-DCA,GREENHOUSE MARKET CORP,,Stoop Line Stand,Revoked,7/11/1996,Inactive
0923342-DCA,"KIM, MI R",STATION FRUIT FARM,Stoop Line Stand,Surrendered,7/18/1996,Inactive
0923343-DCA,"KIM, MI R",STATION FRUIT FARM,Stoop Line Stand,Surrendered,7/18/1996,Inactive
0937223-DCA,"AVENUE U FRUIT & VEGETABLE, INC.",,Stoop Line Stand,Surrendered,8/12/1996,Inactive
0887489-DCA,"SAMSAIR, CECIL",SAM'S GIFT CARD & CANDY,Stoop Line Stand,Suspended,8/22/1996,Inactive
0914004-DCA,,,Tow Truck Driver,Revoked,8/22/1996,Inactive
0928025-DCA,,,Tow Truck Driver,Revoked,9/18/1996,Inactive
0920426-DCA,"MOHAMED, ABDULAH",KAY'S GOLD EXCHANGE,Secondhand Dealer - General,Revoked,9/30/1996,Inactive
0675560-DCA,ISLAND KITCHENS INC.,,Home Improvement Contractor,Suspended,11/27/1996,Inactive
0818091-DCA,"KRIEGER, ALAN S",DYNAMIC HOME IMP CO,Home Improvement Contractor,Suspended,2/10/1997,Inactive
0673435-DCA,"LAIDLAW'S IRON WORKS, INC.",,Home Improvement Contractor,Revoked,2/27/1997,Inactive
0880681-DCA,"DART AWNINGS, INC.",,Home Improvement Contractor,Suspended,2/28/1997,Inactive
0809345-DCA,"ARTISTS & CRAFTSMEN BUILDERS, LTD.",,Home Improvement Contractor,Revoked,4/2/1997,Inactive
0895683-DCA,"NESS AUTO BODY, INC.",,Tow Truck Company,Suspended,4/29/1997,Inactive
0902601-DCA,"WHITEHOUSE, FREDRICK",AAAAA CITY WIDE CHIMNEY & FIREPLACE,Home Improvement Contractor,Suspended,4/29/1997,Inactive
0883713-DCA,"CHAPMAN, RICHARD &  CHAPMAN, MADELINE",CHAP SUN LIMITE     PARTNERSHIP,Garage,Surrendered,4/30/1997,Inactive
0891839-DCA,"J.E. SCHWALL, INC.",,Home Improvement Contractor,Revoked,5/7/1997,Inactive
0917001-DCA,,,Home Improvement Salesperson,Revoked,6/5/1997,Inactive
0832909-DCA,ALFARO MOTORS 241 STREET INC.,,Tow Truck Company,Revoked,7/2/1997,Inactive
0917245-DCA,I & J BUILDING & CONTRACTING CORP.,,Home Improvement Contractor,Revoked,7/18/1997,Inactive
0905521-DCA,"NAM, WUN SOOK",L & N FRUIT AND VEGETABLES,Stoop Line Stand,Surrendered,8/12/1997,Inactive
0938124-DCA,,,Tow Truck Driver,Revoked,8/26/1997,Inactive
0931665-DCA,,,Process Server Individual,Revoked,9/9/1997,Inactive
0942908-DCA,,,Tow Truck Driver,Revoked,11/10/1997,Inactive
0899585-DCA,"MICHTAVY, SHLOMO",AAA CARPET PAINTING ROOFING,Home Improvement Contractor,Revoked,12/1/1997,Inactive
0963964-DCA,"LEE'S GOLD CASTLE, LTD.",,Secondhand Dealer - General,Surrendered,12/8/1997,Inactive
0924678-DCA,"ALL PHASE CONSTRUCTION OF NEW YORK, INC.",ALL PHASE CONSTRUCTION OF NEW YORK,Home Improvement Contractor,Suspended,12/16/1997,Inactive
0898447-DCA,L DUNBAR CONSTRUCTION CO INC,,Home Improvement Contractor,Suspended,1/7/1998,Inactive
0947372-DCA,,,Process Server Individual,Revoked,1/28/1998,Inactive
0913205-DCA,"KATAN CUSTOM PAINTING, INC.",KATAN CONSTRUCTION,Home Improvement Contractor,Suspended,2/23/1998,Inactive
0679977-DCA,MILL PEN CORPORATION,EASTERN STORE EQUIPMENT CO,Scale Dealer Repairer,Surrendered,3/13/1998,Inactive
0739659-DCA,FISHER BROS. ROOFING & WATERPROOFING CORP.,,Home Improvement Contractor,Suspended,4/14/1998,Inactive
0900695-DCA,"WILLIAMS, GEORGE",CAPITOL STATE CONTRACTING & DEVLPT,Home Improvement Contractor,Revoked,4/14/1998,Inactive
0915427-DCA,DRETCHEN HOME IMPROVEMENT CORP.,DRETCHEN HOME IMPROVEMENT,Home Improvement Contractor,Suspended,4/14/1998,Inactive
0924162-DCA,"STEWART, THOMAS",,Home Improvement Contractor,Suspended,4/17/1998,Inactive
0973284-DCA,,,Tow Truck Driver,Revoked,4/20/1998,Inactive
0907148-DCA,,,Tow Truck Driver,Suspended,4/30/1998,Inactive
0953006-DCA,"CAPRI LAUNDRY, INC.",LAUNDRY ON 3RD,Laundry,Surrendered,5/12/1998,Inactive
0897505-DCA,"HUDLEY, MEYERS",MULTICARE EMPLOYMENT AGENCY,Employment Agency,Revoked,6/10/1998,Inactive
0905817-DCA,UNIFIED BUILDERS INC.,,Home Improvement Contractor,Revoked,7/22/1998,Inactive
0899346-DCA,UNISEAL WINDOW CORP.,,Home Improvement Contractor,Revoked,8/3/1998,Inactive
0697459-DCA,"MANDY OF QUALITY, INC.",,Home Improvement Contractor,Revoked,8/14/1998,Inactive
0891695-DCA,"MAHMOOD, TARIQ",BAY RIDGE WATERPROOFING,Home Improvement Contractor,Suspended,8/14/1998,Inactive
0957926-DCA,CARIBBEAN FOODS INC,,Stoop Line Stand,Suspended,8/14/1998,Inactive
0895506-DCA,PERFECT BODIES COLLISION CORP.,,Tow Truck Company,Suspended,8/18/1998,Inactive
0958637-DCA,EAST COAST BOOTING INC.,,Booting Company,Revoked,9/28/1998,Inactive
0834470-DCA,PICTURE PERFECT REMODELING INC.,,Home Improvement Contractor,Suspended,10/15/1998,Inactive
0675212-DCA,VIKING ALUMINUM INC.,,Home Improvement Contractor,Revoked,10/26/1998,Inactive
0859804-DCA,STATEN ISLAND ACTION ALUMINUM & REMODELING INC.,,Home Improvement Contractor,Suspended,10/26/1998,Inactive
0921244-DCA,"ALPHA WINDOW SYSTEMS OF QUEENS, LTD.",ALPHA WINDOW SYSEMS OF QUEENS,Home Improvement Contractor,Suspended,10/26/1998,Inactive
0695325-DCA,"FLORE INDUSTRIES, INC.",,Home Improvement Contractor,Revoked,12/14/1998,Inactive
0938097-DCA,"ARROWLINER RECOVERY, INC.",,Tow Truck Company,Surrendered,1/26/1999,Inactive
0929345-DCA,"NU-WAY CONTRACTING, INC.",,Home Improvement Contractor,Suspended,1/28/1999,Inactive
0917131-DCA,"METROPOLIS KITCHEN CABINETS, INC.",METROPOLIS COLLECTION,Home Improvement Contractor,Suspended,2/17/1999,Inactive
0922812-DCA,MAPLE HOME IMPROVEMENT CORP.,,Home Improvement Contractor,Suspended,2/17/1999,Inactive
0819179-DCA,HELIX CONSTRUCTION CORP.,,Home Improvement Contractor,Suspended,2/19/1999,Inactive
0897763-DCA,"PUBLIC PARKING, INC.",,Garage,Suspended,2/19/1999,Inactive
0917420-DCA,"MARQUIS GALLERIES, LTD.",,Electronics Store,Surrendered,2/24/1999,Inactive
0854587-DCA,SUNSHINE BOYS CORP.,,Home Improvement Contractor,Suspended,4/5/1999,Inactive
0889756-DCA,SHERIDAN-ATLANTIC CORP.,,Home Improvement Contractor,Suspended,4/5/1999,Inactive
0905351-DCA,RANGE DEVELOPMENT INC.,,Home Improvement Contractor,Revoked,4/5/1999,Inactive
0905815-DCA,A & T LICATA CONSTRUCTION CORP.,,Home Improvement Contractor,Suspended,4/5/1999,Inactive
0918823-DCA,CONSTRUCTO CONSTRUCTION CORP,CONSTRUCTO CONSTRUCTION,Home Improvement Contractor,Suspended,4/5/1999,Inactive
0922213-DCA,ALL TOWN BUILDERS INC.,,Home Improvement Contractor,Suspended,4/5/1999,Inactive
0923738-DCA,"EASTMOND, HENDERSON",HENDERSON HOME IMPROVEMENT,Home Improvement Contractor,Suspended,4/5/1999,Inactive
0926626-DCA,BIG CITY CONTRACTING INC.,,Home Improvement Contractor,Revoked,4/5/1999,Inactive
0927305-DCA,"BNK CONSTRUCTION, INC.",,Home Improvement Contractor,Suspended,4/5/1999,Inactive
0955331-DCA,"SANCHEZ, DAVID",FITZGERALD ROOFING & SIDING,Home Improvement Contractor,Suspended,4/5/1999,Inactive
0958374-DCA,OLAECHEA CARLOS G. FARELLA RAFFAELE JR,FARELLA & CO.CONSTRUCTION,Home Improvement Contractor,Revoked,4/5/1999,Inactive
0967322-DCA,JOE C. CONSTRUCTION OF BROOKLYN INC.,,Home Improvement Contractor,Suspended,4/5/1999,Inactive
0953201-DCA,"DOMINGUEZ, EXIO",SUPER FURNITURE & MATTRESS,Secondhand Dealer - General,Surrendered,4/6/1999,Inactive
0815462-DCA,"LAMARCA, ANTHONY C",ANTHONY CONSTRUCTION COMPANY,Home Improvement Contractor,Suspended,4/21/1999,Inactive
0940833-DCA,G AND V RIGHT PRICE HOME IMPROVEMENT CORP.,,Home Improvement Contractor,Suspended,4/21/1999,Inactive
0837745-DCA,"LAINEZ, JOSE RAMON",JOSE HOME IMPROVEMENT,Home Improvement Contractor,Suspended,5/7/1999,Inactive
0954398-DCA,PRO PARKING ENFORCEMENT INC,,Booting Company,Suspended,5/7/1999,Inactive
0978252-DCA,"IZAGUIRE, AURELIO",JOYERID HISPANA (HISPANIC JEWELRY),Secondhand Dealer - General,Surrendered,5/17/1999,Inactive
0893574-DCA,"PHIL LANZA CONTRACTING, INC.",,Home Improvement Contractor,Revoked,5/28/1999,Inactive
1005525-DCA,"HYEWAY AUTO REPAIR, INC.",,Secondhand Dealer - General,Surrendered,6/21/1999,Inactive
0923982-DCA,"KARIMI, JAMES J & SUNTHORNVATIN, SURIYA",EASTERN SUN CONTRACTING,Home Improvement Contractor,Suspended,6/23/1999,Inactive
0920660-DCA,"SANON HOME IMPROVEMENT, INC.",SANON HOME IMPROVEMENT,Home Improvement Contractor,Suspended,7/6/1999,Inactive
0960993-DCA,PRECISION PROJECTS INC.,,Home Improvement Contractor,Suspended,7/6/1999,Inactive
0883669-DCA,PC CONSTRUCTION CORPORATION,,Home Improvement Contractor,Suspended,7/29/1999,Inactive
0885272-DCA,21ST CENTURY HOME IMPROVEMENT CORP.,,Home Improvement Contractor,Suspended,7/29/1999,Inactive
0916908-DCA,"WICKERS, WOODROW W",WICKERS BROTHERS,Home Improvement Contractor,Revoked,7/29/1999,Inactive
0921459-DCA,"KALIANTZOPOULOS, GEORGE",GK CONSTRUCTION,Home Improvement Contractor,Suspended,7/29/1999,Inactive
0943013-DCA,STATEWIDE WINDOWS & DOORS INC.,,Home Improvement Contractor,Suspended,7/29/1999,Inactive
0923262-DCA,"RED BRICK CHIMNEY MAINTENANCE, INC.",,Home Improvement Contractor,Suspended,8/17/1999,Inactive
0817454-DCA,PRIME HOME BUILDERS INC.,,Home Improvement Contractor,Revoked,8/25/1999,Inactive
0883914-DCA,"PEDRI, JOHN J",JND CONCRETE & BRICK INC.,Home Improvement Contractor,Suspended,9/13/1999,Inactive
0930867-DCA,TOP DOWN CHIMNEY CLEANERS INC.,,Home Improvement Contractor,Suspended,9/13/1999,Inactive
0892341-DCA,"DESIGN RENOVATION CONSTRUCTION, INC",,Home Improvement Contractor,Surrendered,10/1/1999,Inactive
0851289-DCA,CREATIVE HOME REMODELING INC,,Home Improvement Contractor,Revoked,10/8/1999,Inactive
0915431-DCA,ABC CONTRACTING DEPOT INC,.,Home Improvement Contractor,Suspended,10/8/1999,Inactive
0924543-DCA,"ALL AMERICAN MAINTENANCE, INC.",,Home Improvement Contractor,Revoked,10/8/1999,Inactive
0971582-DCA,"CROLE, PATRICK",BLUE SKY ENTERPRISES,Home Improvement Contractor,Suspended,10/8/1999,Inactive
0674177-DCA,"PETERMAN, WILLIAM",WILLIAM PETERMAN ROOFING,Home Improvement Contractor,Suspended,10/19/1999,Inactive
0966948-DCA,"CONCORD AUTOMOTIVE AND TOWING, INC.",,Tow Truck Company,Revoked,11/1/1999,Inactive
0918054-DCA,SUPERIOR WINDOWS AND HOME IMPROVEMENTS LTD.,SUPERIOR WINDOWS AND HOME IMPROVEMENTS,Home Improvement Contractor,Revoked,11/4/1999,Inactive
0956069-DCA,P.A.L. BUILDING CORP.,,Home Improvement Contractor,Suspended,11/4/1999,Inactive
0838786-DCA,"SPM UNLIMITED, INC.",CLASSIC WINDOW CO,Home Improvement Contractor,Suspended,11/23/1999,Inactive
0951658-DCA,JAURA CONSTRUCTION LLC,,Home Improvement Contractor,Suspended,11/23/1999,Inactive
0933149-DCA,,,Tow Truck Driver,Revoked,12/10/1999,Inactive
0934562-DCA,"OCEAN MATERIAL & SUPPLY, INC.",,Home Improvement Contractor,Suspended,12/13/1999,Inactive
0956675-DCA,STORMGUARD OF STATEN ISLAND INC,,Home Improvement Contractor,Revoked,12/13/1999,Inactive
0898877-DCA,"MARINE PARK CAMERA & VIDEO, INC.",,Electronics Store,Surrendered,1/4/2000,Inactive
0837554-DCA,GUARDIAN ROOFING INC.,,Home Improvement Contractor,Suspended,1/14/2000,Inactive
0930106-DCA,"CITYWIDE HOME IMPROVEMENT CONTRACTORS, INC.",,Home Improvement Contractor,Suspended,1/14/2000,Inactive
1000356-DCA,"MEJIA, YNOCENCIO",TONY'S PARKING,Parking Lot,Suspended,1/19/2000,Inactive
0809879-DCA,"CACIOPPO, JOSEPH A",JAC WOOD WORKING,Home Improvement Contractor,Revoked,1/20/2000,Inactive
1010984-DCA,ANDREW GIBBS H.,,Home Improvement Contractor,Revoked,1/20/2000,Inactive
0885241-DCA,NORTH AMERICAN THERMAL WINDOW SYSTEMS INC.,,Home Improvement Contractor,Suspended,2/7/2000,Inactive
0930079-DCA,AVANTI-DAR INC,,Home Improvement Contractor,Suspended,2/7/2000,Inactive
0954674-DCA,"TEZARIS, MARK CONSTANIAN, CYNTHIA",MCT CONSTRUCTION,Home Improvement Contractor,Suspended,2/7/2000,Inactive
0961540-DCA,N K DESIGN CORP.,,Home Improvement Contractor,Suspended,2/7/2000,Inactive
0893346-DCA,U.S. BUILDERS & CONSULTING CORP.,,Home Improvement Contractor,Suspended,3/9/2000,Inactive
0980884-DCA,"DIVINE CONSTRUCTION SERVICES, INC.",,Home Improvement Contractor,Revoked,3/9/2000,Inactive
0925227-DCA,DTT CONSTRUCTION CORPORATION,D T T CONSTRUCTION,Home Improvement Contractor,Revoked,3/14/2000,Inactive
0983628-DCA,"DARNLEY, STEVEN W",S & A HOME IMPROVEMENT,Home Improvement Contractor,Revoked,4/11/2000,Inactive
0983629-DCA,,,Home Improvement Salesperson,Revoked,4/11/2000,Inactive
0673696-DCA,MARIN CONSTRUCTION CORP.,,Home Improvement Contractor,Surrendered,4/19/2000,Inactive
0954205-DCA,"AMERICAN EQUITY REMODELERS, LTD.",,Home Improvement Contractor,Suspended,4/24/2000,Inactive
0903549-DCA,UNITED TRADES CONSTRUCTION CORP.,,Home Improvement Contractor,Suspended,5/10/2000,Inactive
0923461-DCA,"HOME EQUITY REMODELERS, INC.",HOME EQUITY REMODELERS,Home Improvement Contractor,Suspended,5/10/2000,Inactive
0936490-DCA,"HALLY, JAMES",CHOICE HOME IMPROVEMENT,Home Improvement Contractor,Suspended,5/10/2000,Inactive
0969302-DCA,"SOMERVILLE, DONALD P",ALL CITY CHIMNEY SWEEP AND REPAIR,Home Improvement Contractor,Suspended,5/10/2000,Inactive
1003847-DCA,"CHU, SUN MOON",YOUNG  PAGE TECH,Electronics Store,Surrendered,5/10/2000,Inactive
0918212-DCA,"WHITE KNIGHT RESTORATION, LTD.",WHITE KNIGHT RESTORATION,Home Improvement Contractor,Revoked,5/12/2000,Inactive
1017746-DCA,,,Locksmith,Revoked,6/30/2000,Inactive
0900714-DCA,WHOLESALE HOME IMPROVEMENTS &,,Home Improvement Contractor,Suspended,7/6/2000,Inactive
0978048-DCA,"LELI JR., RICHARD",EAST COAST RENOVATIONS,Home Improvement Contractor,Suspended,7/6/2000,Inactive
0924069-DCA,ROOFING PLUS INC.,ROOFING PLUS,Home Improvement Contractor,Suspended,7/11/2000,Inactive
0953360-DCA,"EVANS FEBRES CONTRACTORS, INC.",,Home Improvement Contractor,Surrendered,7/14/2000,Inactive
0908507-DCA,"GENUINE HOME IMPROVEMENTS, INC.",,Home Improvement Contractor,Suspended,7/21/2000,Inactive
0692196-DCA,GIACOIA & LOFRANO INC.,,Home Improvement Contractor,Surrendered,8/10/2000,Inactive
0951702-DCA,SYBIL GUYANA RESTAURANT CORP,,Cabaret,Suspended,8/10/2000,Inactive
0984572-DCA,"DONATO, BILLY",HOME CAPITAL,Home Improvement Contractor,Revoked,8/10/2000,Inactive
0907498-DCA,PRIOLA BROS ROOFING AND SIDING,,Home Improvement Contractor,Revoked,8/17/2000,Inactive
0987135-DCA,,,Process Server Individual,Revoked,8/24/2000,Inactive
1041688-DCA,SALEM M MUNASSR,,Tobacco Retail Dealer,Suspended,9/8/2000,Inactive
0901834-DCA,P M B RESTORATION INC,,Home Improvement Contractor,Suspended,9/18/2000,Inactive
0916232-DCA,"TOTALLY TOWING, INC.",,Tow Truck Company,Suspended,9/27/2000,Inactive
0927600-DCA,BIG APPLE HOME IMPROVEMENT CEN,,Home Improvement Contractor,Revoked,9/27/2000,Inactive
0941437-DCA,EMPIRE RESTORATION SERVICES CORP,,Home Improvement Contractor,Suspended,9/29/2000,Inactive
0925012-DCA,CAPRI CONTRACTING CORP.,,Home Improvement Contractor,Suspended,11/3/2000,Inactive
0927454-DCA,FOUR SEASON'S ROOFING & SIDING INC,,Home Improvement Contractor,Suspended,11/3/2000,Inactive
0974420-DCA,ABSOLUTE KITCHEN CORP.,,Home Improvement Contractor,Suspended,11/3/2000,Inactive
0892720-DCA,"VMC FLOWERS, INC.",FLOWERS ON THE      EXCHANGE TOO,Stoop Line Stand,Suspended,11/6/2000,Inactive
0966748-DCA,"SEKONAC, INC",U.S. VIDEO,Electronics Store,Suspended,11/21/2000,Inactive
0815011-DCA,CITYWIDE HOME IMPROVEMENT OF QUEENS INC.,,Home Improvement Contractor,Suspended,11/22/2000,Inactive
0835410-DCA,"BARBAGALLO HOME IMPROVEMENTS, INC.",,Home Improvement Contractor,Suspended,11/22/2000,Inactive
0882665-DCA,STATEWIDE INSULATION & CONSTRUCTION CORP.,,Home Improvement Contractor,Suspended,11/22/2000,Inactive
0923583-DCA,M J B MANAGEMENT & CONSTRUCTION ASSOCIATES INC,M J B MANAGEMENT & CONSTRUCTION ASSOCIATES INC,Home Improvement Contractor,Suspended,11/22/2000,Inactive
0989910-DCA,WON DAK CONSTRUCTION INC.,,Home Improvement Contractor,Suspended,11/22/2000,Inactive
1058688-DCA,"PRO SOUND, INC.",,Electronic & Appliance Service,Surrendered,11/22/2000,Inactive
0815282-DCA,KAMAL CORPORATION,TRADE FAIR,Stoop Line Stand,Revoked,11/30/2000,Inactive
0988248-DCA,"WAHAB, BIBI",CREATIVE DESIGNS HOME IMPROVEMENT,Home Improvement Contractor,Suspended,12/1/2000,Inactive
1041726-DCA,NACHMIAS BROS AUTO SERVICES INC,,Tobacco Retail Dealer,Revoked,12/6/2000,Inactive
1042806-DCA,CRESCENT FOOD CORP.,TRADE FAIR,Tobacco Retail Dealer,Revoked,12/6/2000,Inactive
1045371-DCA,2534 DELI GROCERY INC.,2534 DELI GORCERY INC,Tobacco Retail Dealer,Revoked,12/6/2000,Inactive
0977752-DCA,QUALITY TOWING CORP.,,Tow Truck Company,Suspended,12/14/2000,Inactive
0832874-DCA,"BROADWAY AUTO SERVICE, INC.",,Tow Truck Company,Surrendered,12/20/2000,Inactive
0805990-DCA,"LEE, CHANG HO",LEE'S MARKET,Stoop Line Stand,Surrendered,12/31/2000,Inactive
1041236-DCA,"ALKABADI, MOHAMED A",ALKABADI CANDY & GROCERY,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1043155-DCA,"AL-MALIKI, ANWAR N",AL-MALIKI SUPERMARKET,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1043220-DCA,"HEE'S DELI, INC.",,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1044715-DCA,LEESA DELI CORP.,,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1052114-DCA,"OTTMEN, SALEH",OTTMEN CANDY STORE,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1066324-DCA,"VNP LOBBY STORES, INC.",,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1069660-DCA,"SECOND AVENUE COSMETICS, INC.",,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1070256-DCA,AMER BROTHERS INTERNATIONAL INC.,,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1073352-DCA,ALAM & KHAN INC.,ANANTO GROCERY,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1073549-DCA,ALBARAKA DELI CORP.,,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1075466-DCA,"ALAZAB, MEKDAD A.",MEKDAD GROCERY STORE,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1076879-DCA,"HOLES, HASHEM",SHOPSMART SUPERMARKET,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1076959-DCA,"SHAKEEL, BABAR",FIVE STARS DELI & GROCERY,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1083554-DCA,OVIEDO CORP.,,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1092637-DCA,"YANG, REN YU",FOOD KING RESTAURANT,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1095080-DCA,UNCLE JUNIOR'S INC.,SHORT STOP GOURMET DELI,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1105707-DCA,1539 STOP ONE GROCERY CORP.,,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1106772-DCA,"AEZAH, TOWFIK",SARA MINI MART,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1110193-DCA,"SANTIAGO, YESENIA",COLONIA GROCERY,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1121356-DCA,JIN YAN INC.,WING HING LOON GROCERY STORE,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1124970-DCA,"FICKERY DELI GROCERY, INC",,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1128678-DCA,TSHERING CORP.,,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1130741-DCA,QUICK SAVE GROCERY CORP.,,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1134668-DCA,ABC CANDY & GROCERY INC.,,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1140562-DCA,PALISADES FOOD CORP.,,Tobacco Retail Dealer,Revoked,12/31/2000,Inactive
1380895-DCA,,,Temporary Street Fair Vendor,Surrendered,12/31/2000,Inactive
0928895-DCA,ANGEL'S AUTO BODY & RECOVERY INC.,,Tow Truck Company,Surrendered,1/2/2001,Inactive
0957728-DCA,STATEWIDE ENTERPRISES INC,,Home Improvement Contractor,Suspended,1/2/2001,Inactive
0907472-DCA,"PAE OF STATEN ISLAND, INC.",PAE OF STATEN ISLAND,Home Improvement Contractor,Suspended,1/4/2001,Inactive
0920246-DCA,"ANDERSON FINANCIAL NETWORK, INC.",,Debt Collection Agency,Surrendered,1/29/2001,Inactive
1051503-DCA,MYRTLE FOOD CORP.,,Tobacco Retail Dealer,Revoked,1/31/2001,Inactive
0903670-DCA,AMERICAN EAGLE RESOURCES CORP.,,Home Improvement Contractor,Revoked,2/7/2001,Inactive
