Neighborhood,Class,Units,YearBuilt,SqFt,Income,IncomePerSqFt,Expense,ExpensePerSqFt,NetIncome,Value,ValuePerSqFt,Boro
CIVIC CENTER,R4-CONDOMINIUM,21,1895,32300,1162154,35.98,357238,11.06,804916,5938999,183.87,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,9,1920,20325,769098,37.84,227437,11.19,541661,3718000,182.93,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,20,1915,35900,1329736,37.04,275712,7.68,1054024,7757997,216.1,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,19,1915,45510,1546430,33.98,482861,10.61,1063569,7890999,173.39,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,8,1915,26658,762952,28.62,214863,8.06,548089,3701001,138.83,Manhattan
CHINATOWN,R4-CONDOMINIUM,18,1915,20000,577200,28.86,163000,8.15,414200,3110001,155.5,Manhattan
CHINATOWN,R4-CONDOMINIUM,12,1900,41204,1317292,31.97,418221,10.15,899071,6701998,162.65,Manhattan
CHINATOWN,R4-CONDOMINIUM,163,1990,126500,3787410,29.94,1406680,11.12,2380730,17836002,141,Manhattan
CHINATOWN,R4-CONDOMINIUM,11,1915,28500,822510,28.86,232275,8.15,590235,4431999,155.51,Manhattan
CHINATOWN,R4-CONDOMINIUM,72,2007,91412,4114454,45.01,1357468,14.85,2756986,20745996,226.95,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,47,1900,132423,4432198,33.47,1064681,8.04,3367517,24419996,184.41,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,30,1920,89678,2420409,26.99,486055,5.42,1934354,13964998,155.72,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,29,1920,56292,1799655,31.97,571364,10.15,1228291,9156999,162.67,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,17,1860,32939,872554,26.49,329390,10,543164,3928999,119.28,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,24,1915,98891,3458218,34.97,864555,8.74,2593663,19190999,194.06,Manhattan
TRIBECA,R4-CONDOMINIUM,10,1982,33633,1048677,31.18,385098,11.45,663579,4960000,147.47,Manhattan
TRIBECA,R4-CONDOMINIUM,31,1915,88615,2347411,26.49,877289,9.9,1470122,10634000,120,Manhattan
TRIBECA,R4-CONDOMINIUM,20,1915,20750,679978,32.77,238833,11.51,441145,3280999,158.12,Manhattan
TRIBECA,R4-CONDOMINIUM,10,1921,23287,582175,25,239856,10.3,342319,2492001,107.01,Manhattan
TRIBECA,R4-CONDOMINIUM,9,1915,17788,472983,26.59,181793,10.22,291190,2100997,118.11,Manhattan
TRIBECA,R4-CONDOMINIUM,8,1915,12690,350879,27.65,119159,9.39,231720,1504899,118.59,Manhattan
TRIBECA,R4-CONDOMINIUM,36,1915,86451,2893515,33.47,1029631,11.91,1863884,13843002,160.13,Manhattan
TRIBECA,R4-CONDOMINIUM,46,1910,83020,2868341,34.55,988768,11.91,1879573,13919998,167.67,Manhattan
TRIBECA,R4-CONDOMINIUM,25,1930,94532,2793421,29.55,1089954,11.53,1703467,12100005,128,Manhattan
TRIBECA,R4-CONDOMINIUM,14,1921,40581,1248272,30.76,392012,9.66,856260,6399998,157.71,Manhattan
TRIBECA,R4-CONDOMINIUM,13,1915,53468,1644676,30.76,516501,9.66,1128175,8432001,157.7,Manhattan
TRIBECA,R4-CONDOMINIUM,10,1909,24407,780292,31.97,247731,10.15,532561,3981999,163.15,Manhattan
TRIBECA,R4-CONDOMINIUM,23,1915,86900,2778193,31.97,882035,10.15,1896158,14136000,162.67,Manhattan
TRIBECA,R4-CONDOMINIUM,57,1905,150010,4795820,31.97,1522602,10.15,3273218,24401999,162.67,Manhattan
TRIBECA,R4-CONDOMINIUM,33,1924,119996,4323456,36.03,1429152,11.91,2894304,21352002,177.94,Manhattan
TRIBECA,R4-CONDOMINIUM,26,2000,68033,2526065,37.13,829322,12.19,1696743,12485002,183.51,Manhattan
TRIBECA,R4-CONDOMINIUM,64,1915,119640,3824891,31.97,1214346,10.15,2610545,19461006,162.66,Manhattan
TRIBECA,R4-CONDOMINIUM,15,2005,34587,1447120,41.84,434136,12.55,1012984,7646000,221.07,Manhattan
CHINATOWN,R4-CONDOMINIUM,167,1985,163160,4501584,27.59,1417860,8.69,3083724,22226999,136.23,Manhattan
CHINATOWN,R4-CONDOMINIUM,61,2004,60962,2131841,34.97,609620,10,1522221,11262997,184.75,Manhattan
CHINATOWN,R4-CONDOMINIUM,23,2003,46545,1627679,34.97,276012,5.93,1351667,10001002,214.87,Manhattan
CHINATOWN,R4-CONDOMINIUM,27,1900,70649,2955954,41.84,1283692,18.17,1672262,11110005,157.26,Manhattan
TRIBECA,R4-CONDOMINIUM,9,1915,16028,397494,24.8,168294,10.5,229200,1669000,104.13,Manhattan
TRIBECA,R4-CONDOMINIUM,50,1915,122640,3920801,31.97,1410360,11.5,2510441,18715001,152.6,Manhattan
TRIBECA,R4-CONDOMINIUM,34,1890,67451,2156408,31.97,684628,10.15,1471780,10971998,162.67,Manhattan
TRIBECA,R4-CONDOMINIUM,10,1929,46250,1811613,39.17,462500,10,1349113,9988004,215.96,Manhattan
TRIBECA,R4-CONDOMINIUM,35,2004,138798,4835722,34.84,1654472,11.92,3181250,23452969,168.97,Manhattan
TRIBECA,R4-CONDOMINIUM,24,1930,66444,2043817,30.76,730884,11,1312933,9813002,147.69,Manhattan
TRIBECA,R4-CONDOMINIUM,66,1913,155221,5592613,36.03,1848682,11.91,3743931,27619994,177.94,Manhattan
TRIBECA,R4-CONDOMINIUM,15,1920,58213,2011259,34.55,533231,9.16,1478028,10946001,188.03,Manhattan
TRIBECA,R4-CONDOMINIUM,33,1853,100894,2981418,29.55,925198,9.17,2056220,15416001,152.79,Manhattan
TRIBECA,R4-CONDOMINIUM,4,2007,17185,677776,39.44,179411,10.44,498365,3773000,219.55,Manhattan
TRIBECA,R4-CONDOMINIUM,65,2004,163128,6156451,37.74,1869447,11.46,4287004,32454998,198.95,Manhattan
TRIBECA,R4-CONDOMINIUM,28,1920,88897,2734472,30.76,1024982,11.53,1709490,12775996,143.72,Manhattan
TRIBECA,R4-CONDOMINIUM,16,1930,37785,1116547,29.55,415635,11,700912,4905998,129.84,Manhattan
TRIBECA,R4-CONDOMINIUM,6,1915,16400,461004,28.11,163672,9.98,297332,2147000,130.91,Manhattan
TRIBECA,R4-CONDOMINIUM,12,1915,51647,1526169,29.55,473603,9.17,1052566,7891000,152.79,Manhattan
TRIBECA,R4-CONDOMINIUM,31,1920,94924,3034720,31.97,963479,10.15,2071241,15440998,162.67,Manhattan
TRIBECA,R4-CONDOMINIUM,33,1900,73257,1941311,26.5,585323,7.99,1355988,8843984,120.73,Manhattan
TRIBECA,R4-CONDOMINIUM,20,1962,36435,1120741,30.76,351962,9.66,768779,5745997,157.71,Manhattan
TRIBECA,R4-CONDOMINIUM,27,1920,88496,2829217,31.97,898234,10.15,1930983,14395002,162.66,Manhattan
TRIBECA,R4-CONDOMINIUM,8,1940,24059,665231,27.65,259837,10.8,405394,2926000,121.62,Manhattan
SOHO,R4-CONDOMINIUM,11,2003,25300,930028,36.76,310937,12.29,619091,4560000,180.24,Manhattan
SOHO,R4-CONDOMINIUM,67,2007,146294,5973184,40.83,2048116,14,3925068,29647996,202.66,Manhattan
SOHO,R4-CONDOMINIUM,10,1915,30331,993947,32.77,349110,11.51,644837,4802001,158.32,Manhattan
SOHO,R4-CONDOMINIUM,10,1920,17632,497222,28.2,169267,9.6,327955,2366000,134.19,Manhattan
SOHO,R4-CONDOMINIUM,16,1910,44653,1259215,28.2,428669,9.6,830546,5698005,127.61,Manhattan
CHINATOWN,R4-CONDOMINIUM,18,1911,45148,1413584,31.31,520556,11.53,893028,6665999,147.65,Manhattan
CHINATOWN,R4-CONDOMINIUM,12,1915,28370,888265,31.31,230081,8.11,658184,4432999,156.26,Manhattan
CHINATOWN,R4-CONDOMINIUM,39,1990,25786,794982,30.83,257860,10,537122,4013995,155.67,Manhattan
CHINATOWN,RR-CONDOMINIUM,25,1915,26907,825776,30.69,174088,6.47,651688,4871000,181.03,Manhattan
CHINATOWN,R4-CONDOMINIUM,18,1899,14777,401491,27.17,144371,9.77,257120,1854996,125.53,Manhattan
CHINATOWN,R4-CONDOMINIUM,80,1929,85956,2335425,27.17,936920,10.9,1398505,10091999,117.41,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,13,1912,19597,541857,27.65,211648,10.8,330209,2320995,118.44,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,10,2005,7576,249705,32.96,85078,11.23,164627,1225000,161.69,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,26,1990,27046,677232,25.04,305349,11.29,371883,2701000,99.87,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,80,2002,43850,1786449,40.74,573120,13.07,1213329,9166000,209.03,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,16,2004,9744,375729,38.56,138365,14.2,237364,1795999,184.32,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,12,1991,5700,216543,37.99,71706,12.58,144837,1096000,192.28,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,10,2004,6656,242145,36.38,81869,12.3,160276,1182000,177.58,Manhattan
CHINATOWN,R4-CONDOMINIUM,74,1989,47161,1582723,33.56,563574,11.95,1019149,7567998,160.47,Manhattan
CHINATOWN,R4-CONDOMINIUM,32,1991,25805,792472,30.71,297790,11.54,494682,3696998,143.27,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,28,1988,19924,550899,27.65,215179,10.8,335720,2419000,121.41,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,24,1907,21645,570346,26.35,241342,11.15,329004,2379998,109.96,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,30,1928,21223,547978,25.82,227086,10.7,320892,2324996,109.55,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,29,1912,43723,1253976,28.68,546538,12.5,707438,5313001,121.52,Manhattan
CHINATOWN,R4-CONDOMINIUM,8,1988,4227,115186,27.25,45229,10.7,69957,505001,119.47,Manhattan
CHINATOWN,R4-CONDOMINIUM,10,2007,7169,275003,38.36,91907,12.82,183096,1386004,193.33,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,10,1900,6791,147229,21.68,54328,8,92901,673204,99.13,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,35,1990,23604,724879,30.71,266725,11.3,458154,3423996,145.06,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,16,2002,31406,1142550,36.38,402625,12.82,739925,5454002,173.66,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,41,1941,25795,750892,29.11,279618,10.84,471274,3536997,137.12,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,4,1920,7535,217234,28.83,56136,7.45,161098,1144001,151.82,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,23,1910,17899,499919,27.93,192951,10.78,306968,2009999,112.3,Manhattan
CHINATOWN,R4-CONDOMINIUM,8,1910,8188,226398,27.65,84255,10.29,142143,1026001,125.31,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,25,2003,39027,1303502,33.4,491350,12.59,812152,6041000,154.79,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,27,1940,23344,959205,41.09,299270,12.82,659935,4984001,213.5,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,53,1930,56354,2294171,40.71,521275,9.25,1772896,13391995,237.64,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,41,2004,39643,1528634,38.56,461841,11.65,1066793,7689010,193.96,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,6,1950,44742,1588341,35.5,412969,9.23,1175372,17869000,399.38,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,38,1930,32476,1175956,36.21,492661,15.17,683295,5039003,155.16,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,31,2005,47873,1609012,33.61,440432,9.2,1168580,8636002,180.39,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,25,2001,27798,792799,28.52,309114,11.12,483685,3212028,115.55,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,23,2005,34734,1202838,34.63,414029,11.92,788809,5840002,168.14,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,5,2008,7405,263988,35.65,60647,8.19,203341,1501999,202.84,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,47,2005,36472,1454868,39.89,319859,8.77,1135009,8579000,235.22,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,16,2000,15704,541631,34.49,210120,13.38,331511,2455000,156.33,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,83,1928,78982,2138833,27.08,853006,10.8,1285827,9281001,117.51,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,12,2005,11603,469341,40.45,149679,12.9,319662,2415000,208.14,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,17,2008,19333,782020,40.45,257129,13.3,524891,3543001,183.26,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,21,1920,20038,541026,27,214607,10.71,326419,2355999,117.58,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,16,1920,19854,534271,26.91,224350,11.3,309921,2238999,112.77,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,1,1920,1996,64870,32.5,23772,11.91,41098,306000,153.31,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,26,1965,29906,989590,33.09,308331,10.31,681259,5064002,169.33,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,13,1900,31205,1107778,35.5,288022,9.23,819756,6058998,194.17,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,6,1900,3800,112936,29.72,34500,9.08,78436,588000,154.74,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,10,1900,11517,408854,35.5,106302,9.23,302552,2100000,182.34,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,16,1900,14130,506702,35.86,172386,12.2,334316,2466995,174.59,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,17,1920,18201,680717,37.4,254450,13.98,426267,3137000,172.35,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,9,1920,5597,212798,38.02,74832,13.37,137966,951001,169.91,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,16,1900,5130,187655,36.58,59867,11.67,127788,942000,183.63,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,12,2003,8664,351152,40.53,89326,10.31,261826,1978002,228.3,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,12,2002,7042,310130,44.04,76406,10.85,233724,1760000,249.93,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,8,1990,7841,279532,35.65,64218,8.19,215314,1493998,190.54,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,55,2005,58364,2052662,35.17,594146,10.18,1458516,10796996,184.99,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,16,1988,13319,500661,37.59,137985,10.36,362676,2665999,200.17,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,16,1900,26783,941958,35.17,272651,10.18,669307,4917002,183.59,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,63,2000,56479,2416736,42.79,642731,11.38,1774005,13380994,236.92,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,32,1991,23605,879758,37.27,218818,9.27,660940,4862000,205.97,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,20,1920,11229,402110,35.81,143619,12.79,258491,1909000,170.01,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,10,1920,10461,370424,35.41,108899,10.41,261525,1815001,173.5,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,10,2007,6166,311445,50.51,69368,11.25,242077,1815000,294.36,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,13,2001,15742,581509,36.94,128612,8.17,452897,3333999,211.79,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,27,1900,30363,931840,30.69,196449,6.47,735391,5497000,181.04,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,40,1911,25528,864378,33.86,162869,6.38,701509,5206002,203.93,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,96,2006,93382,3733412,39.98,747990,8.01,2985422,22563999,241.63,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,11,2007,14982,563173,37.59,155214,10.36,407959,2998999,200.17,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,20,1900,17225,611488,35.5,158987,9.23,452501,3344993,194.19,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,35,1999,62556,2390890,38.22,446650,7.14,1944240,14712999,235.2,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,36,2008,46707,1928065,41.28,373189,7.99,1554876,11740999,251.38,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,14,2007,24778,1002270,40.45,329547,13.3,672723,5082998,205.14,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,36,1984,24528,1088062,44.36,292864,11.94,795198,5986997,244.09,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,14,1900,14650,484183,33.05,123646,8.44,360537,2680000,182.94,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,10,1910,11995,477761,39.83,138782,11.57,338979,2401000,200.17,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,12,1920,13648,533180,39.07,141803,10.39,391377,2563002,187.79,Manhattan
EAST VILLAGE,R4-CONDOMINIUM,16,1920,12192,410383,33.66,117653,9.65,292730,2173000,178.23,Manhattan
LITTLE ITALY,R4-CONDOMINIUM,28,1988,21442,634469,29.59,228357,10.65,406112,3045001,142.01,Manhattan
